Isobaric ID	Metabolites IDs	Precursor Name	Precursor Formula	Precursor m/z	Precursor Adduct	Precursor Charge	Retention Time
XXX	XXX	Asn-Ureidopropionate	C4H8N2O3	131.04622	[M-H]	-1	0.3
XXX	XXX	Butanoate	C4H8O2	87.04515	[M-H]	-1	0.3
XXX	XXX	Butyrate	C4H8O2	87.04515	[M-H]	-1	0.3
XXX	XXX	Isobut	C4H8O2	87.04515	[M-H]	-1	0.3
XXX	XXX	aOHIsobut	C4H8O3	103.04007	[M-H]	-1	0.3
XXX	XXX	OHBut	C4H8O3	103.04007	[M-H]	-1	0.3
XXX	XXX	OHButanoate	C4H8O3	103.04007	[M-H]	-1	0.3
XXX	XXX	NIsobut	C4H9NO2	102.05605	[M-H]	-1	0.3
XXX	XXX	Thr 	C4H9NO3	118.05097	[M-H]	-1	0.3
XXX	XXX	Gln	C5H10N2O3	145.06187	[M-H]	-1	0.3
XXX	XXX	Isovalerate	C5H10O2	101.0608	[M-H]	-1	0.3
XXX	XXX	OHmThioButanoate	C5H10O3S	149.02779	[M-H]	-1	0.3
XXX	XXX	Arabinose	C5H10O5	149.04555	[M-H]	-1	0.3
XXX	XXX	Lyxose	C5H10O5	149.04555	[M-H]	-1	0.3
XXX	XXX	Ribose	C5H10O5	149.04555	[M-H]	-1	0.3
XXX	XXX	Xylose	C5H10O5	149.04555	[M-H]	-1	0.3
XXX	XXX	mNBut	C5H11NO2	116.0717	[M-H]	-1	0.3
XXX	XXX	Val	C5H11NO2	116.0717	[M-H]	-1	0.3
XXX	XXX	Met 	C5H11NO2S	148.04377	[M-H]	-1	0.3
XXX	XXX	DRib5P	C5H11O7P	213.01696	[M-H]	-1	0.3
XXX	XXX	Pent5P	C5H11O8P	229.01188	[M-H]	-1	0.3
XXX	XXX	Rib1P	C5H11O8P	229.01188	[M-H]	-1	0.3
XXX	XXX	Rib5P	C5H11O8P	229.01188	[M-H]	-1	0.3
XXX	XXX	Ribu5P	C5H11O8P	229.01188	[M-H]	-1	0.3
XXX	XXX	RibBP	C5H12O11P2	308.97821	[M-H]	-1	0.3
XXX	XXX	RibuBP	C5H12O11P2	308.97821	[M-H]	-1	0.3
XXX	XXX	Arabitol	C5H12O5	151.0612	[M-H]	-1	0.3
XXX	XXX	Ribitol	C5H12O5	151.0612	[M-H]	-1	0.3
XXX	XXX	Xylitol	C5H12O5	151.0612	[M-H]	-1	0.3
XXX	XXX	IPP_DMAPP	C5H12O7P2	244.99855	[M-H]	-1	0.3
XXX	XXX	HDMAPP	C5H12O8P2	260.99346	[M-H]	-1	0.3
XXX	XXX	PRPP	C5H13O14P3	388.94454	[M-H]	-1	0.3
XXX	XXX	Orotate	C5H4N2O4	155.00983	[M-H]	-1	0.3
XXX	XXX	UracilCarboxylate	C5H4N2O4	155.00983	[M-H]	-1	0.3
XXX	XXX	26OHPyridine	C5H5NO2	110.02475	[M-H]	-1	0.3
XXX	XXX	PyrroleCarboxylate	C5H5NO2	110.02475	[M-H]	-1	0.3
XXX	XXX	Thymine	C5H6N2O2	125.03565	[M-H]	-1	0.3
XXX	XXX	2HydroOrotate	C5H6N2O4	157.02548	[M-H]	-1	0.3
XXX	XXX	Citraconate	C5H6O4	129.01933	[M-H]	-1	0.3
XXX	XXX	Itaconate	C5H6O4	129.01933	[M-H]	-1	0.3
XXX	XXX	mMaleate	C5H6O4	129.01933	[M-H]	-1	0.3
XXX	XXX	aKG	C5H6O5	145.01425	[M-H]	-1	0.3
XXX	XXX	Oxoglutarate	C5H6O5	145.01425	[M-H]	-1	0.3
XXX	XXX	OxoPro	C5H7NO3	128.03532	[M-H]	-1	0.3
XXX	XXX	PyroGlu	C5H7NO3	128.03532	[M-H]	-1	0.3
XXX	XXX	mAcetoAc	C5H8O3	115.04007	[M-H]	-1	0.3
XXX	XXX	EthylMalonate	C5H8O4	131.03498	[M-H]	-1	0.3
XXX	XXX	Glutarate	C5H8O4	131.03498	[M-H]	-1	0.3
XXX	XXX	CitMal	C5H8O5	147.0299	[M-H]	-1	0.3
XXX	XXX	Pro 	C5H9NO2	114.05605	[M-H]	-1	0.3
XXX	XXX	NAcAla	C5H9NO3	130.05097	[M-H]	-1	0.3
XXX	XXX	NAcCys	C5H9NO3S	162.02304	[M-H]	-1	0.3
XXX	XXX	NAcSer	C5H9NO4	146.04588	[M-H]	-1	0.3
XXX	XXX	NmAsp	C5H9NO4	146.04588	[M-H]	-1	0.3
XXX	XXX	OAcSer	C5H9NO4	146.04588	[M-H]	-1	0.3
XXX	XXX	Glu	C5H9NO4	146.04588	[M-H]	-1	0.3
XXX	XXX	SCarboxymCys	C5H9NO4S	178.01795	[M-H]	-1	0.3
XXX	XXX	NAcAsn	C6H10N2O4	173.05678	[M-H]	-1	0.3
XXX	XXX	MevLactone	C6H10O3	129.05572	[M-H]	-1	0.3
XXX	XXX	mOxovalerate	C6H10O3	129.05572	[M-H]	-1	0.3
XXX	XXX	Adipate	C6H10O4	145.05063	[M-H]	-1	0.3
XXX	XXX	m2Glutarate	C6H10O4	145.05063	[M-H]	-1	0.3
XXX	XXX	m3Glutarate	C6H10O4	145.05063	[M-H]	-1	0.3
XXX	XXX	OHmGlutarate	C6H10O5	161.04555	[M-H]	-1	0.3
XXX	XXX	GlucLac	C6H10O6	177.04046	[M-H]	-1	0.3
XXX	XXX	KdGluconate	C6H10O6	177.04046	[M-H]	-1	0.3
XXX	XXX	Galacturonate	C6H10O7	193.03538	[M-H]	-1	0.3
XXX	XXX	Glucuronate	C6H10O7	193.03538	[M-H]	-1	0.3
XXX	XXX	Galactarate	C6H10O8	209.03029	[M-H]	-1	0.3
XXX	XXX	Saccharate	C6H10O8	209.03029	[M-H]	-1	0.3
XXX	XXX	Acetamidobutanoate	C6H11NO3	144.06662	[M-H]	-1	0.3
XXX	XXX	FormylMet	C6H11NO3S	176.03869	[M-H]	-1	0.3
XXX	XXX	NmGlu	C6H11NO4	160.06153	[M-H]	-1	0.3
XXX	XXX	MVA	C6H12O4	147.06628	[M-H]	-1	0.3
XXX	XXX	dGlc	C6H12O5	163.0612	[M-H]	-1	0.3
XXX	XXX	Fucose	C6H12O5	163.0612	[M-H]	-1	0.3
XXX	XXX	Rhamnose	C6H12O5	163.0612	[M-H]	-1	0.3
XXX	XXX	Hexose	C6H12O6	179.05611	[M-H]	-1	0.3
XXX	XXX	Gluconate	C6H12O7	195.05103	[M-H]	-1	0.3
XXX	XXX	Ile 	C6H13NO2	130.08735	[M-H]	-1	0.3
XXX	XXX	Leu 	C6H13NO2	130.08735	[M-H]	-1	0.3
XXX	XXX	6PG	C6H13O10P	275.01736	[M-H]	-1	0.3
XXX	XXX	MVA5P	C6H13O7P	227.03261	[M-H]	-1	0.3
XXX	XXX	Fru1P	C6H13O9P	259.02244	[M-H]	-1	0.3
XXX	XXX	Fru6P	C6H13O9P	259.02244	[M-H]	-1	0.3
XXX	XXX	Gal1P	C6H13O9P	259.02244	[M-H]	-1	0.3
XXX	XXX	Glc1P	C6H13O9P	259.02244	[M-H]	-1	0.3
XXX	XXX	Glc6P	C6H13O9P	259.02244	[M-H]	-1	0.3
XXX	XXX	Man6P	C6H13O9P	259.02244	[M-H]	-1	0.3
XXX	XXX	Lys 	C6H14N2O2	145.09825	[M-H]	-1	0.3
XXX	XXX	Arg	C6H14N4O2	173.1044	[M-H]	-1	0.3
XXX	XXX	GalN1P	C6H14NO8P	258.03843	[M-H]	-1	0.3
XXX	XXX	GlcN6P	C6H14NO8P	258.03843	[M-H]	-1	0.3
XXX	XXX	MVA5PP	C6H14O10P2	306.99894	[M-H]	-1	0.3
XXX	XXX	FruBP	C6H14O12P2	338.98877	[M-H]	-1	0.3
XXX	XXX	Galactitol	C6H14O6	181.07176	[M-H]	-1	0.3
XXX	XXX	Mannitol	C6H14O6	181.07176	[M-H]	-1	0.3
XXX	XXX	Sorbitol	C6H14O6	181.07176	[M-H]	-1	0.3
XXX	XXX	Phytate	C6H18O24P6	658.85409	[M-H]	-1	0.3
XXX	XXX	24OHPteridine	C6H4N4O2	163.02615	[M-H]	-1	0.3
XXX	XXX	Benzoate	C6H5COOH	121.0295	[M-H]	-1	0.3
XXX	XXX	OHNicotinate	C6H5NO3	138.01967	[M-H]	-1	0.3
XXX	XXX	Kojate	C6H6O4	141.01933	[M-H]	-1	0.3
XXX	XXX	CisAco	C6H6O6	173.00916	[M-H]	-1	0.3
XXX	XXX	TransAco	C6H6O6	173.00916	[M-H]	-1	0.3
XXX	XXX	AnilineS	C6H7NO3S	172.00739	[M-H]	-1	0.3
XXX	XXX	Oxoadipate	C6H8O5	159.0299	[M-H]	-1	0.3
XXX	XXX	Ascorbate	C6H8O6	175.02481	[M-H]	-1	0.3
XXX	XXX	CitIsocit	C6H8O7	191.01973	[M-H]	-1	0.3
XXX	XXX	Citrate	C6H8O7	191.01973	[M-H]	-1	0.3
XXX	XXX	IsoCit	C6H8O7	191.01973	[M-H]	-1	0.3
XXX	XXX	His 	C6H9N3O2	154.0622	[M-H]	-1	0.3
XXX	XXX	NAcAsp	C6H9NO5	174.0408	[M-H]	-1	0.3
XXX	XXX	Ketoleucine	C6H9O3	128.04789	[M-H]	-1	0.3
XXX	XXX	Shikimate	C7H10O5	173.04555	[M-H]	-1	0.3
XXX	XXX	NAcPro	C7H11NO3	156.06662	[M-H]	-1	0.3
XXX	XXX	NAcGlu	C7H11NO5	188.05645	[M-H]	-1	0.3
XXX	XXX	Shi3P	C7H11O8P	253.01188	[M-H]	-1	0.3
XXX	XXX	2mGlutarate	C7H12O4	159.06628	[M-H]	-1	0.3
XXX	XXX	CarboxyHexanoate	C7H12O4	159.06628	[M-H]	-1	0.3
XXX	XXX	Quinate	C7H12O6	191.05611	[M-H]	-1	0.3
XXX	XXX	NAcMet	C7H13NO3S	190.05434	[M-H]	-1	0.3
XXX	XXX	mGalactoside	C7H14O6	193.07176	[M-H]	-1	0.3
XXX	XXX	Pinitol	C7H14O6	193.07176	[M-H]	-1	0.3
XXX	XXX	Sed	C7H14O7	209.06668	[M-H]	-1	0.3
XXX	XXX	Sed7P	C7H15O10P	289.03301	[M-H]	-1	0.3
XXX	XXX	Quinolinate	C7H5NO4	166.01458	[M-H]	-1	0.3
XXX	XXX	OHBenzaldehyde	C7H6O2	121.0295	[M-H]	-1	0.3
XXX	XXX	OHBenzoate	C7H6O3	137.02442	[M-H]	-1	0.3
XXX	XXX	2OHBenzoate	C7H6O4	153.01933	[M-H]	-1	0.3
XXX	XXX	mCitrate	C7H710O7	910.5129	[M-H]	-1	0.3
XXX	XXX	Salicylamide	C7H7NO2	136.0404	[M-H]	-1	0.3
XXX	XXX	OHXyanthranilate	C7H7NO3	152.03532	[M-H]	-1	0.3
XXX	XXX	Paraxanthine	C7H8N4O2	179.05745	[M-H]	-1	0.3
XXX	XXX	Theobromine	C7H8N4O2	179.05745	[M-H]	-1	0.3
XXX	XXX	BenzylAlcohol	C7H8O	107.05024	[M-H]	-1	0.3
XXX	XXX	PyridoxalP	C8H10NO6P	246.0173	[M-H]	-1	0.3
XXX	XXX	34OHPhenylGlycol	C8H10O4	169.05063	[M-H]	-1	0.3
XXX	XXX	Pyridoxamine	C8H12N2O2	167.0826	[M-H]	-1	0.3
XXX	XXX	OSuccHomoSer	C8H13NO6	218.06701	[M-H]	-1	0.3
XXX	XXX	Suberate	C8H14O4	173.08193	[M-H]	-1	0.3
XXX	XXX	NAcLeu	C8H15NO3	172.09792	[M-H]	-1	0.3
XXX	XXX	NAcGlcN	C8H15NO6	220.08266	[M-H]	-1	0.3
XXX	XXX	GlcNAcP	C8H16NO9P	300.04899	[M-H]	-1	0.3
XXX	XXX	24OHAcetoPhenone	C8H8O3	151.04007	[M-H]	-1	0.3
XXX	XXX	Mandelate	C8H8O3	151.04007	[M-H]	-1	0.3
XXX	XXX	OH2PhenylAcetate	C8H8O3	151.04007	[M-H]	-1	0.3
XXX	XXX	OH3PhenylAcetate	C8H8O3	151.04007	[M-H]	-1	0.3
XXX	XXX	OHmBenzoate	C8H8O3	151.04007	[M-H]	-1	0.3
XXX	XXX	POHPhenylAcetate	C8H8O3	151.04007	[M-H]	-1	0.3
XXX	XXX	34OHPhenylAcetate	C8H8O4	167.03498	[M-H]	-1	0.3
XXX	XXX	34OHMandelate	C8H8O5	183.0299	[M-H]	-1	0.3
XXX	XXX	Hydrocinnamate	C9H10O2	149.0608	[M-H]	-1	0.3
XXX	XXX	MethoxyPhenylacetate	C9H10O3	165.05572	[M-H]	-1	0.3
XXX	XXX	OHPhenylProp	C9H10O3	165.05572	[M-H]	-1	0.3
XXX	XXX	HomoVanillate	C9H10O4	181.05063	[M-H]	-1	0.3
XXX	XXX	OHPhenylLactate	C9H10O4	181.05063	[M-H]	-1	0.3
XXX	XXX	MethoxyOHMandelate	C9H10O5	197.04555	[M-H]	-1	0.3
XXX	XXX	Syringate	C9H10O5	197.04555	[M-H]	-1	0.3
XXX	XXX	Phe 	C9H11NO2	164.0717	[M-H]	-1	0.3
XXX	XXX	Tyr	C9H11NO3	180.06662	[M-H]	-1	0.3
XXX	XXX	dUridine	C9H12N2O5	227.06734	[M-H]	-1	0.3
XXX	XXX	Uridine	C9H12N2O6	243.06226	[M-H]	-1	0.3
XXX	XXX	cCMP	C9H12N3O7P	304.03401	[M-H]	-1	0.3
XXX	XXX	OHmPhenylglycol	C9H12O4	183.06628	[M-H]	-1	0.3
XXX	XXX	dUMP	C9H13N2O8P	307.03368	[M-H]	-1	0.3
XXX	XXX	UMP	C9H13N2O9P	323.02859	[M-H]	-1	0.3
XXX	XXX	Cytidine	C9H13N3O5	242.07824	[M-H]	-1	0.3
XXX	XXX	UDP	C9H14N2O12P2	402.99492	[M-H]	-1	0.3
XXX	XXX	dCMP	C9H14N3O7P	306.04966	[M-H]	-1	0.3
XXX	XXX	CMP	C9H14N3O8P	322.04457	[M-H]	-1	0.3
XXX	XXX	dUTP	C9H15N2O14P3	466.96634	[M-H]	-1	0.3
XXX	XXX	UTP	C9H15N2O15P3	482.96125	[M-H]	-1	0.3
XXX	XXX	dCDP	C9H15N3O10P2	386.01599	[M-H]	-1	0.3
XXX	XXX	CDP	C9H15N3O11P2	402.0109	[M-H]	-1	0.3
XXX	XXX	AICAR	C9H15N4O8P	337.05547	[M-H]	-1	0.3
XXX	XXX	dCTP	C9H16N3O13P3	465.98232	[M-H]	-1	0.3
XXX	XXX	CTP	C9H16N3O14P3	481.97723	[M-H]	-1	0.3
XXX	XXX	Azelate	C9H16O4	187.09758	[M-H]	-1	0.3
XXX	XXX	Pantothenate	C9H17NO5	218.1034	[M-H]	-1	0.3
XXX	XXX	Coumarate	C9H8O3	163.04007	[M-H]	-1	0.3
XXX	XXX	Caffeate	C9H8O4	179.03498	[M-H]	-1	0.3
XXX	XXX	OHPhenylPyr	C9H8O4	179.03498	[M-H]	-1	0.3
XXX	XXX	Hippurate	C9H9NO3	178.05097	[M-H]	-1	0.3
XXX	XXX	Acetate	CH3COOH	59.01385	[M-H]	-1	0.3
XXX	XXX	Trp	C11H12N2O2	203.0826	[M-H]	-1	0.3
XXX	XXX	His	C6H9N3O2	154.0622	[M-H]	-1	0.3
XXX	XXX	Cystine	C6H12N2O4S2	239.01657	[M-H]	-1	0.3
XXX	XXX	Asn	C4H8N2O3	131.04622	[M-H]	-1	0.3
XXX	XXX	Pro 	C5H9NO2	114.05605	[M-H]	-1	0.3
XXX	XXX	MOPS	C7H15NO4S	208.0649	[M-H]	-1	0.3
XXX	XXX	penicillin	C16H18N2O4S	333.09	[M-H]	-1	0.3
